Date,GD,ITA,LMT,NOC,RTX
2020-12-31,133.06884765625,90.67803192138672,309.41241455078125,280.62298583984375,63.75950241088867
2021-01-04,130.4936981201172,86.94442749023438,300.39984130859375,271.4505920410156,61.01331329345703
2021-01-05,130.5562286376953,88.92610168457031,304.0170593261719,273.1358337402344,61.89601516723633
2021-01-06,133.89144897460938,89.83555603027344,303.3545837402344,275.4841613769531,62.66280746459961
2021-01-07,135.66189575195312,89.66326141357422,298.5780334472656,269.4429626464844,62.21699905395508
2021-01-08,134.81243896484375,89.3377456665039,292.95599365234375,265.5290832519531,62.288333892822266
2021-01-11,135.71556091308594,89.38562774658203,294.3331298828125,271.43218994140625,62.23483657836914
2021-01-12,137.25347900390625,90.90777587890625,297.9678649902344,274.0107116699219,63.76841354370117
2021-01-13,136.4756317138672,90.58229064941406,301.14056396484375,275.7789306640625,62.85895919799805
2021-01-14,138.78123474121094,92.1427230834961,302.8403625488281,279.0573425292969,63.25127410888672
2021-01-15,137.95263671875,90.27594757080078,302.692138671875,276.9669189453125,61.69985580444336
2021-01-19,137.91664123535156,91.1854019165039,297.662841796875,274.4527893066406,61.84252166748047
2021-01-20,138.72720336914062,91.26199340820312,297.8110046386719,275.1527099609375,61.378883361816406
2021-01-21,136.05227661132812,89.86429595947266,296.0677185058594,273.3936767578125,60.727989196777344
2021-01-22,137.5924072265625,89.94087982177734,296.2507629394531,274.5816955566406,60.25544738769531
2021-01-25,137.9436492919922,89.31861877441406,299.4148254394531,275.6775817871094,59.09633255004883
2021-01-26,135.39479064941406,88.29428100585938,288.24041748046875,269.9310607910156,59.9166374206543
2021-01-27,137.55636596679688,86.111572265625,289.8267822265625,269.12982177734375,58.40087890625
2021-01-28,135.48487854003906,86.93487548828125,285.8347473144531,269.857421875,60.781490325927734
2021-01-29,132.10743713378906,85.2786865234375,280.5091247558594,263.9450378417969,59.4975700378418
2021-02-01,132.9990692138672,86.74340057373047,282.4353332519531,269.19439697265625,59.702640533447266
2021-02-02,134.9355010986328,89.14629364013672,289.9924011230469,276.27618408203125,62.538002014160156
2021-02-03,137.87159729003906,90.46739196777344,289.72222900390625,276.9576721191406,62.930301666259766
2021-02-04,141.87950134277344,92.24803161621094,293.9410095214844,277.9799499511719,64.80270385742188
2021-02-05,143.0413360595703,91.89381408691406,293.7752990722656,275.161865234375,64.49060821533203
2021-02-08,143.7798614501953,93.24365997314453,294.4726257324219,276.3958740234375,64.63325500488281
2021-02-09,146.03150939941406,94.03823852539062,298.39495849609375,279.75726318359375,65.1236801147461
2021-02-10,146.92312622070312,93.45426940917969,298.2642517089844,279.6191101074219,64.6154556274414
2021-02-11,147.21133422851562,93.99994659423828,295.6057434082031,275.9354553222656,64.49060821533203
2021-02-12,148.45428466796875,93.73188781738281,294.3767395019531,273.84490966796875,64.74028015136719
2021-02-16,147.09426879882812,93.48298645019531,292.02337646484375,267.87744140625,64.74028015136719
2021-02-17,148.1480255126953,93.91378784179688,293.7404479980469,273.67919921875,65.1415023803711
2021-02-18,147.01315307617188,92.66925811767578,294.5424499511719,274.305419921875,64.98098754882812
2021-02-19,148.40921020507812,94.78495788574219,292.36322021484375,273.7344665527344,66.21145629882812
2021-02-22,149.88629150390625,93.80847930908203,296.7650146484375,274.3791809082031,65.08800506591797
2021-02-23,150.72389221191406,93.90420532226562,301.78564453125,275.0606689453125,65.97068786621094
2021-02-24,151.3633270263672,96.94851684570312,302.0471496582031,277.86932373046875,69.2518539428711
2021-02-25,149.6881103515625,93.22450256347656,297.8284606933594,278.01678466796875,65.77556610107422
2021-02-26,147.22935485839844,91.53003692626953,290.06414794921875,269.8919982910156,64.58241271972656
2021-03-01,150.46267700195312,94.59347534179688,292.89227294921875,271.55767822265625,66.70854187011719
2021-03-02,151.02105712890625,94.25840759277344,297.3892517089844,276.4805908203125,66.9866714477539
2021-03-03,151.2642364501953,94.56477355957031,299.4269714355469,276.7767639160156,67.34552001953125
2021-03-04,149.30084228515625,92.7841567993164,297.090576171875,275.30535888671875,66.76237487792969
2021-03-05,153.5789337158203,93.86591339111328,299.0054016113281,278.4516296386719,67.44418334960938
2021-03-08,155.53335571289062,94.20098876953125,299.9012756347656,282.8100280761719,67.82994842529297
2021-03-09,151.97576904296875,94.36373901367188,296.431884765625,276.0364074707031,67.13020324707031
2021-03-10,155.29014587402344,96.94851684570312,299.365478515625,277.609619140625,68.68218231201172
2021-03-11,155.51531982421875,98.32707977294922,298.39056396484375,277.0635681152344,69.12179565429688
2021-03-12,158.7757568359375,101.05545043945312,298.7945861816406,279.2659912109375,70.44051361083984
2021-03-15,159.15399169921875,101.53412628173828,304.2576904296875,282.921142578125,71.38246154785156
2021-03-16,157.90206909179688,99.44713592529297,304.8900451660156,283.0137634277344,70.1893310546875
2021-03-17,159.88351440429688,101.29476165771484,308.3067626953125,287.3907165527344,71.37348175048828
2021-03-18,161.43264770507812,99.696044921875,314.8326110839844,291.4345703125,69.92020416259766
2021-03-19,159.97354125976562,99.5333023071289,311.86395263671875,285.61395263671875,70.29696655273438
2021-03-22,159.0188751220703,98.71956634521484,314.13885498046875,290.7590026855469,69.00513458251953
2021-03-23,157.4967803955078,96.0869140625,310.58154296875,290.6942443847656,67.44418334960938
2021-03-24,158.89279174804688,95.9720458984375,312.7861328125,292.443115234375,67.776123046875
2021-03-25,162.17112731933594,98.22403717041016,317.26556396484375,297.21807861328125,69.5523910522461
2021-03-26,163.50405883789062,98.56976318359375,320.3309326171875,295.21002197265625,70.12652587890625
